# LWT-PWN is the IDS/LWT concept list linked to Princeton WordNet 3.0 word sense identifiers.
#
# by Lars Borin
#
# version 1.0
# 2015-03-31
# 
# License: CC-BY 4.0 International <https://creativecommons.org/licenses/by/4.0/>
# 
# If you use this dataset or derivatives of it in publications,
# please cite:
#
# Lars Borin, Bernard Comrie, Anju Saxena 2013. The Intercontinental Dictionary Series –
# a rich and principled database for language comparison. In Lars Borin and Anju Saxena (eds.),
# Approaches to Measuring Linguistic Differences. De Gruyter Mouton. 285–302.
#
# @incollection{Borin-Lars2013-26,
#	title		= "The {I}ntercontinental {D}ictionary {S}eries -- a rich and principled database for language comparison",
#	booktitle	= "Approaches to Measuring Linguistic Differences",
#	author		= "Borin, Lars and Comrie, Bernard and Saxena, Anju",
#	editor		= {Borin, Lars and Saxena, Anju},
#	year		= "2013",
#	publisher	= "De Gruyter Mouton",
#	address		= "Berlin",
#	pages		= "285--302"
# }
#
# Data format:
# <IDS/LWT concept ID>tab<English gloss>tab<relation>tab<PWN word sense ID>tab<PWN definition>
# 
# <relation> is one of
# ss : synonym
# iu : hyponym/subordinate/narrower (A iu B = 'A is a hyponym of B')
# ui : hyperonym/superordinate/broader (A ui B = 'A is a hyperonym of B')
# Mappings to SALDO senses are not disambiguated in this version. Alternatives are separated by ":".
#
#
S02.270	the child(1)	ss	child%1:18:00::	a young person of either sex; "she writes books for children"; "they're just kids"; "`tiddler' is a British term for youngster"
S02.280	the baby	ss	baby%1:18:00::	a very young child (birth to 1 year) who has not yet begun to walk or talk; "the baby began to cry again"; "she held the baby in her arms"; "it sounds simple, but when you have your own baby it is all so different"
S02.310	the husband	ss	husband%1:18:00::	a married man; a woman's partner in marriage
S02.320	the wife	ss	wife%1:18:00::	a married woman; a man's partner in marriage
S02.330	to marry	ss	marry%2:41:00::	take in marriage
S02.340	the wedding	ss	wedding%1:04:00::	the act of marrying; the nuptial ceremony; "their marriage was conducted in the chapel"
S02.341	the divorce	ss	divorce%1:04:00::	the legal dissolution of a marriage
S02.350	the father	ss	father%1:18:00::	a male parent (also used as a term of address to your father); "his father was born in Atlanta"
S02.360	the mother	ss	mother%1:18:00::	a woman who has given birth to a child (also used as a term of address to your mother); "the mother of three children"
S02.370	the parents	ss	parent%1:18:00::	a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who pl
S02.380	the married man	ss	married_man%1:18:00::	a married man; a woman's partner in marriage
S02.390	the married woman	ss	married_woman%1:18:00::	a married woman; a man's partner in marriage
S02.410	the son	ss	son%1:18:00::	a male human offspring; "their son became a famous judge"; "his boy is taller than he is"
S02.420	the daughter	ss	daughter%1:18:00::	a female human offspring; "her daughter cared for her in her old age"
S02.430	the child(2)	ss	child%1:18:01::	a human offspring (son or daughter) of any age; "they had three children"; "they were able to send their kids to college"
